Training with hyperparameters: p_pddm=0.1, r_mid_point_mini=3.2e+02
Training data: data/setting_b/ihdp_setting_b_1-100.train.npz
Test data:     data/setting_b/ihdp_setting_b_1-100.test.npz
Loaded data with shape [523,25]
Defining graph...

Training on experiment 1/10...
0	Obj: 205.708,	F: 9.334,	Cf: 10.779,	PDDM: 1.7e+02,	mid_p: 0.26,	Val: 9.158,	ValObj: 152.15
100	Obj: 20.058,	F: 4.283,	Cf: 4.741,	PDDM: 10,	mid_p: 0.00051,	Val: 4.346,	ValObj: 22.66
200	Obj: 21.005,	F: 4.201,	Cf: 4.457,	PDDM: 27,	mid_p: 0.0012,	Val: 4.325,	ValObj: 21.71
300	Obj: 12.948,	F: 3.163,	Cf: 3.071,	PDDM: 14,	mid_p: 0.012,	Val: 3.275,	ValObj: 16.09
400	Obj: 7.453,	F: 2.692,	Cf: 3.247,	PDDM: 4.2,	mid_p: 0.005,	Val: 3.000,	ValObj: 13.87
500	Obj: 5.459,	F: 2.309,	Cf: 3.388,	PDDM: 1.1,	mid_p: 0.0027,	Val: 2.836,	ValObj: 12.95
600	Obj: 6.344,	F: 2.336,	Cf: 3.081,	PDDM: 11,	mid_p: 0.004,	Val: 3.482,	ValObj: 12.62
700	Obj: 4.766,	F: 2.103,	Cf: 3.057,	PDDM: 8.3,	mid_p: 0.002,	Val: 2.972,	ValObj: 10.20
800	Obj: 4.251,	F: 1.952,	Cf: 3.245,	PDDM: 7.8,	mid_p: 0.0021,	Val: 3.081,	ValObj: 10.57
900	Obj: 5.497,	F: 1.961,	Cf: 3.287,	PDDM: 17,	mid_p: 0.0025,	Val: 2.808,	ValObj: 9.11
1000	Obj: 4.469,	F: 1.930,	Cf: 3.312,	PDDM: 10,	mid_p: 0.0017,	Val: 3.124,	ValObj: 10.72
1100	Obj: 5.146,	F: 1.913,	Cf: 3.508,	PDDM: 12,	mid_p: 0.002,	Val: 3.430,	ValObj: 12.81
1200	Obj: 3.692,	F: 1.788,	Cf: 3.290,	PDDM: 8.2,	mid_p: 0.0014,	Val: 2.665,	ValObj: 9.43
1300	Obj: 4.729,	F: 1.823,	Cf: 3.038,	PDDM: 17,	mid_p: 0.0018,	Val: 2.607,	ValObj: 7.69
1400	Obj: 3.965,	F: 1.613,	Cf: 2.956,	PDDM: 13,	mid_p: 0.002,	Val: 2.411,	ValObj: 7.40
1500	Obj: 3.543,	F: 1.804,	Cf: 2.918,	PDDM: 6.4,	mid_p: 0.0015,	Val: 2.428,	ValObj: 8.58
1600	Obj: 3.795,	F: 1.769,	Cf: 2.942,	PDDM: 10,	mid_p: 0.0013,	Val: 2.442,	ValObj: 8.09
1700	Obj: 3.097,	F: 1.660,	Cf: 3.046,	PDDM: 4.9,	mid_p: 0.00096,	Val: 2.317,	ValObj: 9.34
