Training with hyperparameters: p_pddm=10, r_mid_point_mini=3.2e+02
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_100_setting_1_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_100_setting_1_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/100...
0	Obj: 1800.971,	F: 6.563,	Cf: 7.151,	PDDM: 1.7e+02,	mid_p: 0.054,	Val: 6.712,	ValObj: 1778.25
100	Obj: 67.151,	F: 4.877,	Cf: 5.047,	PDDM: 4.3,	mid_p: 0.00016,	Val: 5.037,	ValObj: 63.95
200	Obj: 62.873,	F: 4.877,	Cf: 4.986,	PDDM: 3.9,	mid_p: 0.00013,	Val: 5.036,	ValObj: 60.11
300	Obj: 103.219,	F: 4.875,	Cf: 5.164,	PDDM: 7.9,	mid_p: 0.00011,	Val: 5.036,	ValObj: 98.99
400	Obj: 219.047,	F: 4.878,	Cf: 5.106,	PDDM: 20,	mid_p: 0.0001,	Val: 5.038,	ValObj: 214.58
500	Obj: 155.929,	F: 4.878,	Cf: 5.275,	PDDM: 13,	mid_p: 8.9e-05,	Val: 5.040,	ValObj: 149.35
600	Obj: 77.405,	F: 4.874,	Cf: 5.220,	PDDM: 5.4,	mid_p: 8e-05,	Val: 5.036,	ValObj: 76.38
700	Obj: 86.712,	F: 4.884,	Cf: 4.989,	PDDM: 6.3,	mid_p: 7.2e-05,	Val: 5.042,	ValObj: 81.21
800	Obj: 75.060,	F: 4.874,	Cf: 5.030,	PDDM: 5.1,	mid_p: 5.7e-05,	Val: 5.033,	ValObj: 73.42
900	Obj: 64.450,	F: 4.875,	Cf: 5.186,	PDDM: 4.1,	mid_p: 5.2e-05,	Val: 5.036,	ValObj: 61.61
1000	Obj: 101.452,	F: 4.875,	Cf: 5.004,	PDDM: 7.8,	mid_p: 4.5e-05,	Val: 5.034,	ValObj: 97.43
1100	Obj: 148.688,	F: 4.877,	Cf: 4.976,	PDDM: 12,	mid_p: 2.8e-05,	Val: 5.035,	ValObj: 143.37
1200	Obj: 123.593,	F: 4.872,	Cf: 5.040,	PDDM: 10,	mid_p: 2.6e-05,	Val: 5.031,	ValObj: 119.43
1300	Obj: 104.810,	F: 4.886,	Cf: 4.930,	PDDM: 8.1,	mid_p: 2.4e-05,	Val: 5.044,	ValObj: 101.35
1400	Obj: 48.041,	F: 4.871,	Cf: 5.038,	PDDM: 2.4,	mid_p: 2.3e-05,	Val: 5.030,	ValObj: 46.68
1500	Obj: 56.853,	F: 4.867,	Cf: 5.041,	PDDM: 3.3,	mid_p: 2.1e-05,	Val: 5.026,	ValObj: 54.09
