Training with hyperparameters: p_pddm=32, r_mid_point_mini=0.32
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_100_setting_1_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_100_setting_1_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/100...
0	Obj: 5562.479,	F: 6.563,	Cf: 7.151,	PDDM: 1.7e+02,	mid_p: 0.063,	Val: 6.712,	ValObj: 5490.02
100	Obj: 139.332,	F: 4.876,	Cf: 5.030,	PDDM: 3.7,	mid_p: 0.00056,	Val: 5.035,	ValObj: 129.52
200	Obj: 204.979,	F: 4.876,	Cf: 4.970,	PDDM: 5.7,	mid_p: 0.00057,	Val: 5.034,	ValObj: 189.65
300	Obj: 285.707,	F: 4.871,	Cf: 5.153,	PDDM: 8.3,	mid_p: 0.00054,	Val: 5.031,	ValObj: 265.45
400	Obj: 675.990,	F: 4.880,	Cf: 5.089,	PDDM: 21,	mid_p: 0.00052,	Val: 5.038,	ValObj: 657.95
500	Obj: 442.892,	F: 4.878,	Cf: 5.278,	PDDM: 13,	mid_p: 0.00051,	Val: 5.039,	ValObj: 417.15
600	Obj: 219.120,	F: 4.873,	Cf: 5.222,	PDDM: 6.2,	mid_p: 0.0005,	Val: 5.033,	ValObj: 208.92
700	Obj: 226.972,	F: 4.879,	Cf: 4.946,	PDDM: 6.4,	mid_p: 0.00047,	Val: 5.035,	ValObj: 205.28
800	Obj: 199.616,	F: 4.864,	Cf: 5.028,	PDDM: 5.6,	mid_p: 0.00046,	Val: 5.021,	ValObj: 189.73
900	Obj: 139.527,	F: 4.867,	Cf: 5.163,	PDDM: 3.7,	mid_p: 0.00047,	Val: 5.024,	ValObj: 123.80
1000	Obj: 272.086,	F: 4.815,	Cf: 4.937,	PDDM: 7.9,	mid_p: 0.00053,	Val: 4.968,	ValObj: 252.77
1100	Obj: 401.213,	F: 4.109,	Cf: 4.681,	PDDM: 12,	mid_p: 0.00026,	Val: 4.294,	ValObj: 379.57
1200	Obj: 339.531,	F: 2.926,	Cf: 4.287,	PDDM: 10,	mid_p: 0.00033,	Val: 3.062,	ValObj: 320.30
